,operator,well_name,latitude,longitude,API.1
136,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
137,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
138,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
139,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
140,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
141,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
142,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
143,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
144,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
145,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
146,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
147,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
148,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
149,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
150,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
151,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
152,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
153,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
154,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
155,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
156,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
157,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
158,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
159,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
160,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
161,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'56.960""W",33-105-02727
162,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
163,INC.,Atlanta Federal 6-6H,"48°06'33.379""N","103°43'47.971""W",33-105-02727
164,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
165,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
166,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
167,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'56.960""W",33-105-02727
168,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
169,INC.,Atlanta Federal 6-6H,"48°06'33.661""N","103°43'47.971""W",33-105-02727
170,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'56.960""W",33-105-02727
171,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'47.971""W",33-105-02727
172,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.379""N","103°43'47.971""W",33-105-02727
173,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'56.960""W",33-105-02727
174,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
175,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
176,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'56.960""W",33-105-02727
177,CONTINENTAL RESOURCES,Atlanta Federal 6-6H (Atlanta 14 Well Eco Pad),"48°06'33.661""N","103°43'47.971""W",33-105-02727
